Concentration (mg/L),Absorbance,Volume (mL),Mass (g),Temperature (°C),pH,Pressure (kPa),Flow Rate (L/min)
0,0.015,10.00,1.000,25.0,7.00,101.3,1.00
10,0.218,10.01,1.001,25.1,7.01,101.2,1.02
20,0.421,9.99,0.999,24.9,6.99,101.4,0.98
30,0.624,10.00,1.000,25.0,7.00,101.3,1.01
40,0.827,10.02,1.002,25.2,7.02,101.1,1.03
50,1.030,9.98,0.998,24.8,6.98,101.5,0.97
60,1.233,10.00,1.000,25.0,7.00,101.3,1.00
70,1.436,10.01,1.001,25.1,7.01,101.2,1.02
80,1.639,9.99,0.999,24.9,6.99,101.4,0.98
90,1.842,10.00,1.000,25.0,7.00,101.3,1.01
100,2.045,10.02,1.002,25.2,7.02,101.1,1.03
0,0.016,10.00,1.000,25.0,7.00,101.3,1.00
10,0.219,10.01,1.001,25.1,7.01,101.2,1.02
20,0.422,9.99,0.999,24.9,6.99,101.4,0.98
30,0.625,10.00,1.000,25.0,7.00,101.3,1.01
40,0.828,10.02,1.002,25.2,7.02,101.1,1.03
50,1.031,9.98,0.998,24.8,6.98,101.5,0.97
60,1.234,10.00,1.000,25.0,7.00,101.3,1.00
70,1.437,10.01,1.001,25.1,7.01,101.2,1.02
80,1.640,9.99,0.999,24.9,6.99,101.4,0.98
90,1.843,10.00,1.000,25.0,7.00,101.3,1.01
100,2.046,10.02,1.002,25.2,7.02,101.1,1.03
0,0.014,10.00,1.000,25.0,7.00,101.3,1.00
10,0.217,10.01,1.001,25.1,7.01,101.2,1.02
20,0.420,9.99,0.999,24.9,6.99,101.4,0.98
30,0.623,10.00,1.000,25.0,7.00,101.3,1.01
40,0.826,10.02,1.002,25.2,7.02,101.1,1.03
50,1.029,9.98,0.998,24.8,6.98,101.5,0.97
60,1.232,10.00,1.000,25.0,7.00,101.3,1.00
70,1.435,10.01,1.001,25.1,7.01,101.2,1.02
80,1.638,9.99,0.999,24.9,6.99,101.4,0.98
90,1.841,10.00,1.000,25.0,7.00,101.3,1.01
100,2.044,10.02,1.002,25.2,7.02,101.1,1.03
0,0.017,10.00,1.000,25.0,7.00,101.3,1.00
10,0.220,10.01,1.001,25.1,7.01,101.2,1.02
20,0.423,9.99,0.999,24.9,6.99,101.4,0.98
30,0.626,10.00,1.000,25.0,7.00,101.3,1.01
40,0.829,10.02,1.002,25.2,7.02,101.1,1.03
50,1.032,9.98,0.998,24.8,6.98,101.5,0.97
60,1.235,10.00,1.000,25.0,7.00,101.3,1.00
70,1.438,10.01,1.001,25.1,7.01,101.2,1.02
80,1.641,9.99,0.999,24.9,6.99,101.4,0.98
90,1.844,10.00,1.000,25.0,7.00,101.3,1.01
100,2.047,10.02,1.002,25.2,7.02,101.1,1.03
0,0.013,10.00,1.000,25.0,7.00,101.3,1.00
10,0.216,10.01,1.001,25.1,7.01,101.2,1.02
20,0.419,9.99,0.999,24.9,6.99,101.4,0.98
30,0.622,10.00,1.000,25.0,7.00,101.3,1.01
40,0.825,10.02,1.002,25.2,7.02,101.1,1.03
50,1.028,9.98,0.998,24.8,6.98,101.5,0.97
60,1.231,10.00,1.000,25.0,7.00,101.3,1.00
70,1.434,10.01,1.001,25.1,7.01,101.2,1.02
80,1.637,9.99,0.999,24.9,6.99,101.4,0.98
90,1.840,10.00,1.000,25.0,7.00,101.3,1.01
100,2.043,10.02,1.002,25.2,7.02,101.1,1.03
